"id","question","sparql","answer_rdf","answer","frame"
"0","Chi parlava il Banovina di Croazia","select  ?o    {    <http://dbpedia.org/resource/Banovina_of_Croatia> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Serbo-Croatian","Lingua serbo-croata","VP"
"1","Quale parlava il Banovina di Croazia","select  ?o    {    <http://dbpedia.org/resource/Banovina_of_Croatia> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Serbo-Croatian","Lingua serbo-croata","VP"
"2","Chi parlava il Barbados","select  ?o    {    <http://dbpedia.org/resource/Barbados> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/English_in_Barbados","","VP"
"3","Quale parlava il Barbados","select  ?o    {    <http://dbpedia.org/resource/Barbados> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/English_in_Barbados","","VP"
"4","Chi parlava il Baroda stato","select  ?o    {    <http://dbpedia.org/resource/Baroda_State> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Hindi","Lingua hindi","VP"
"5","Quale parlava il Baroda stato","select  ?o    {    <http://dbpedia.org/resource/Baroda_State> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Hindi","Lingua hindi","VP"
"6","Chi parlava il Repubblica Batava","select  ?o    {    <http://dbpedia.org/resource/Batavian_Republic> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Dutch_language","Lingua olandese","VP"
"7","Quale parlava il Repubblica Batava","select  ?o    {    <http://dbpedia.org/resource/Batavian_Republic> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Dutch_language","Lingua olandese","VP"
"8","Chi parlava il Governo Beiyang","select  ?o    {    <http://dbpedia.org/resource/Beiyang_government> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Standard_Chinese","Lingua cinese standard","VP"
"9","Quale parlava il Governo Beiyang","select  ?o    {    <http://dbpedia.org/resource/Beiyang_government> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Standard_Chinese","Lingua cinese standard","VP"
"10","Chi parlava il Bielorussia","select  ?o    {    <http://dbpedia.org/resource/Belarus> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Russian_language","Lingua russa","VP"
"11","Quale parlava il Bielorussia","select  ?o    {    <http://dbpedia.org/resource/Belarus> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Russian_language","Lingua russa","VP"
"12","Chi parlava il Belgio","select  ?o    {    <http://dbpedia.org/resource/Belgium> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Dutch_language","Lingua olandese","VP"
"13","Quale parlava il Belgio","select  ?o    {    <http://dbpedia.org/resource/Belgium> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/Dutch_language","Lingua olandese","VP"
"14","Chi parlava il Belize","select  ?o    {    <http://dbpedia.org/resource/Belize> <http://dbpedia.org/ontology/officialLanguage>  ?o    }","http://dbpedia.org/resource/English_language","Lingua inglese","VP"
