id,question,sparql,answer_rdf,answer,frame
2011,Qual è la moglie di James Hadley Chase?,select  ?o    {    <http://dbpedia.org/resource/Barbara_Hammer> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Florrie_R._Burke,,NPP
2013,la moglie di Baldassarre di Turingia,"select  ?o    {    <http://dbpedia.org/resource/Balthasar,_Landgrave_of_Thuringia> <http://dbpedia.org/ontology/spouse>  ?o    }",http://dbpedia.org/resource/Anna_of_Saxe-Wittenberg,,NPP
2014,la moglie di Balu Mahendra,select  ?o    {    <http://dbpedia.org/resource/Balu_Mahendra> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Shoba,,NPP
2015,la moglie di Bam Bam Bigelow,select  ?o    {    <http://dbpedia.org/resource/Bam_Bam_Bigelow> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Slammy_Award,Slammy Award,NPP
2016,la moglie di Bam Margera,select  ?o    {    <http://dbpedia.org/resource/Bam_Margera> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Missy_Rothstein,,NPP
2017,la moglie di Bamie Roosevelt,select  ?o    {    <http://dbpedia.org/resource/Bamie_Roosevelt> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/William_S._Cowles,,NPP
2018,la moglie di Bamir Topi,select  ?o    {    <http://dbpedia.org/resource/Bamir_Topi> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Teuta_Topi,,NPP
2019,la moglie di Ban Zhao,select  ?o    {    <http://dbpedia.org/resource/Ban_Zhao> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Cao_Shishu,,NPP
2020,la moglie di Bandar bin Sultan Al Sa'ud,select  ?o    {    <http://dbpedia.org/resource/Bandar_bin_Sultan_Al_Saud> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Haifa_bint_Faisal_Al_Saud,Haifa bint Faysal Al Sa'ud,NPP
2021,la moglie di Banharn Silpa-archa,select  ?o    {    <http://dbpedia.org/resource/Banharn_Silpa-archa> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Jamsai_Silpa-archa,,NPP
2022,la moglie di Banjō Ginga,select  ?o    {    <http://dbpedia.org/resource/Banjō_Ginga> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Gara_Takashima,,NPP
2023,la moglie di Barbara Luna,select  ?o    {    <http://dbpedia.org/resource/BarBara_Luna> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Doug_McClure,,NPP
2024,la moglie di Bar Refaeli,select  ?o    {    <http://dbpedia.org/resource/Bar_Refaeli> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Adi_Ezra,,NPP
2025,la moglie di Barack Obama,select  ?o    {    <http://dbpedia.org/resource/Barack_Obama> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Michelle_Obama,Michelle Obama,NPP
2026,la moglie di Barack Obama Sr.,select  ?o    {    <http://dbpedia.org/resource/Barack_Obama_Sr.> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Ann_Dunham,Ann Dunham,NPP
2027,la moglie di Barbara Babcock,select  ?o    {    <http://dbpedia.org/resource/Barbara_Babcock> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Jay_Sheffield,,NPP
2028,la moglie di Barbara Bach,select  ?o    {    <http://dbpedia.org/resource/Barbara_Bach> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Ringo_Starr,Ringo Starr,NPP
2029,la moglie di Barbara Bain,select  ?o    {    <http://dbpedia.org/resource/Barbara_Bain> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Martin_Landau,Martin Landau,NPP
2030,la moglie di Barbara Bedford (attrice),select  ?o    {    <http://dbpedia.org/resource/Barbara_Bedford_(actress)> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Irvin_Willat,Irvin Willat,NPP
2031,la moglie di Barbara Bennett,select  ?o    {    <http://dbpedia.org/resource/Barbara_Bennett> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Jack_Randall_(actor),,NPP
2032,la moglie di Barbara Billingsley,select  ?o    {    <http://dbpedia.org/resource/Barbara_Billingsley> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Roy_Kellino,,NPP
2033,la moglie di Barbara Broccoli,select  ?o    {    <http://dbpedia.org/resource/Barbara_Broccoli> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Frederick_Zollo,,NPP
2034,la moglie di Barbara Bush,select  ?o    {    <http://dbpedia.org/resource/Barbara_Bush> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/George_H._W._Bush,George H. W. Bush,NPP
2035,la moglie di Barbara Carrera,select  ?o    {    <http://dbpedia.org/resource/Barbara_Carrera> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Mavroleon_family,,NPP
2036,la moglie di Barbara Franklin,select  ?o    {    <http://dbpedia.org/resource/Barbara_Franklin> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Wallace_Barnes,,NPP
2037,la moglie di Barbara Goldsmith,select  ?o    {    <http://dbpedia.org/resource/Barbara_Goldsmith> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Frank_Perry,Frank Perry,NPP
2038,la moglie di Barbara Hale,select  ?o    {    <http://dbpedia.org/resource/Barbara_Hale> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Bill_Williams_(actor),Bill Williams,NPP
2039,la moglie di Adolf Sandberger,select  ?o    {    <http://dbpedia.org/resource/Barbara_Hammer> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Florrie_R._Burke,,NPP
2040,la moglie di Adolphe Sax,select  ?o    {    <http://dbpedia.org/resource/Barbara_Hammer> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Florrie_R._Burke,,NPP
2041,la moglie di Agar (Bibbia),select  ?o    {    <http://dbpedia.org/resource/Barbara_Hammer> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Florrie_R._Burke,,NPP
2042,la moglie di Agatocle,select  ?o    {    <http://dbpedia.org/resource/Barbara_Hammer> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Florrie_R._Burke,,NPP
2043,la moglie di Al-Damîrî,select  ?o    {    <http://dbpedia.org/resource/Barbara_Hammer> <http://dbpedia.org/ontology/spouse>  ?o    },http://dbpedia.org/resource/Florrie_R._Burke,,NPP
