id,question,sparql,answer_rdf,answer,frame
0,Quale distesa d'acqua confluisce nel Mar Baltico?,select ?o { <http://dbpedia.org/resource/Baltic_Sea> <http://dbpedia.org/ontology/inflow> ?o },http://dbpedia.org/resource/Oder,Oder,IPP
1,Quale distesa d'acqua confluisce nel Mare di Barents?,select ?o { <http://dbpedia.org/resource/Barents_Sea> <http://dbpedia.org/ontology/inflow> ?o },http://dbpedia.org/resource/Norwegian_Sea,Mare di Norvegia,IPP
2,Quale distesa d'acqua confluisce nel Baia di Bangkok?,select ?o { <http://dbpedia.org/resource/Bay_of_Bangkok> <http://dbpedia.org/ontology/inflow> ?o },http://dbpedia.org/resource/Gulf_of_Thailand,Golfo del Siam,IPP
3,Quale distesa d'acqua confluisce nel Golfo del Bengala?,select ?o { <http://dbpedia.org/resource/Bay_of_Bengal> <http://dbpedia.org/ontology/inflow> ?o },http://dbpedia.org/resource/Indian_Ocean,Oceano Indiano,IPP
4,Quale distesa d'acqua confluisce nel Golfo di Biscaglia?,select ?o { <http://dbpedia.org/resource/Bay_of_Biscay> <http://dbpedia.org/ontology/inflow> ?o },http://dbpedia.org/resource/Atlantic_Ocean,Oceano Atlantico,IPP
5,Quale distesa d'acqua confluisce nel Baia dei Porci?,select ?o { <http://dbpedia.org/resource/Bay_of_Pigs> <http://dbpedia.org/ontology/inflow> ?o },http://dbpedia.org/resource/Caribbean_Sea,Mare Caraibico,IPP
6,Quale distesa d'acqua confluisce nel Baia di Valona?,select ?o { <http://dbpedia.org/resource/Bay_of_Vlorë> <http://dbpedia.org/ontology/inflow> ?o },http://dbpedia.org/resource/Ionian_Sea,Mar Ionio,IPP
7,Quale distesa d'acqua confluisce nel Golfo di Buor-Chaja?,select ?o { <http://dbpedia.org/resource/Buor-Khaya_Gulf> <http://dbpedia.org/ontology/inflow> ?o },http://dbpedia.org/resource/Omoloy,Omoloj,IPP
8,Quale distesa d'acqua confluisce nel Stretto di Caboto?,select ?o { <http://dbpedia.org/resource/Cabot_Strait> <http://dbpedia.org/ontology/inflow> ?o },http://dbpedia.org/resource/Atlantic_Ocean,Oceano Atlantico,IPP
9,Quale distesa d'acqua confluisce nel Diga di Cabora Bassa?,select ?o { <http://dbpedia.org/resource/Cahora_Bassa> <http://dbpedia.org/ontology/inflow> ?o },http://dbpedia.org/resource/Zambezi,Zambesi,IPP
