"id","question","sparql","answer","frame"
"0","Give me the capital of Khedivate of Egypt","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Cairo","NPP"
"1","Tell me the capital of Khedivate of Egypt","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Cairo","NPP"
"2","What is the capital of Khedivate of Egypt?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Cairo","NPP"
"3","What was the capital of Khedivate of Egypt?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Cairo","NPP"
"4","Give me the capital of Khedivate of Egypt","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Cairo","NPP"
"5","Tell me the capital of Khedivate of Egypt","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Cairo","NPP"
"6","What is the capital of Khedivate of Egypt?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Cairo","NPP"
"7","What was the capital of Khedivate of Egypt?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Cairo","NPP"
"8","Give me the capital of Brandenburg-Prussia","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q157367> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Königsberg","NPP"
"9","Tell me the capital of Brandenburg-Prussia","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q157367> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Königsberg","NPP"
"10","What is the capital of Brandenburg-Prussia?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q157367> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Königsberg","NPP"
"11","What was the capital of Brandenburg-Prussia?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q157367> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Königsberg","NPP"
"12","Give me the capital of Francia","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Tournai","NPP"
"13","Tell me the capital of Francia","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Tournai","NPP"
"14","What is the capital of Francia?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Tournai","NPP"
"15","What was the capital of Francia?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Tournai","NPP"
"17","the capital of Khedivate of Egypt","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Cairo","NPP"
"18","the capital of Khedivate of Egypt","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Cairo","NPP"
"19","the capital of Brandenburg-Prussia","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q157367> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Königsberg","NPP"
"20","the capital of Francia","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""EN"" ) )}","Tournai","NPP"
