id,question,sparql,answer,answer,frame
191059,il compositore di Ssibaj-i,select  ?o    {    <http://dbpedia.org/resource/The_Surrogate_Woman> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191060,il compositore di Una diligenza per l'ovest,select  ?o    {    <http://dbpedia.org/resource/Winds_of_the_Wasteland> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Arthur_Kay_(musician),,NPP
191061,il compositore di Bleach: The DiamondDust Rebellion,select  ?o    {    <http://dbpedia.org/resource/Bleach:_The_DiamondDust_Rebellion> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Shirō_Sagisu,Shirō Sagisu,NPP
191062,il compositore di Traitor - Sospetto tradimento,select  ?o    {    <http://dbpedia.org/resource/Traitor_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191063,il compositore di Target (film 1952),select  ?o    {    <http://dbpedia.org/resource/Target_(1952_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Paul_Sawtell,Paul Sawtell,NPP
191064,il compositore di Dick Tracy e il gas misterioso,select  ?o    {    <http://dbpedia.org/resource/Dick_Tracy_Meets_Gruesome> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Paul_Sawtell,Paul Sawtell,NPP
191065,il compositore di Damn Yankees!,select  ?o    {    <http://dbpedia.org/resource/Damn_Yankees_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Richard_Adler,Richard Adler,NPP
191066,il compositore di L'Assassinat du duc de Guise (film 1908),select  ?o    {    <http://dbpedia.org/resource/The_Assassination_of_the_Duke_of_Guise> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Camille_Saint-Saëns,Camille Saint-Saëns,NPP
191067,il compositore di S21: La macchina di morte dei Khmer rossi,select  ?o    {    <http://dbpedia.org/resource/S-21:_The_Khmer_Rouge_Killing_Machine> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191068,il compositore di Banditi a Orgosolo,select  ?o    {    <http://dbpedia.org/resource/Banditi_a_Orgosolo> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/Valentino_Bucchi,Valentino Bucchi,NPP
191069,il compositore di Lezioni d'amore,select  ?o    {    <http://dbpedia.org/resource/Elegy_(film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },,no answer found,NPP
191070,il compositore di Street of Chance (film 1930),select  ?o    {    <http://dbpedia.org/resource/Street_of_Chance_(1930_film)> <http://dbpedia.org/ontology/musicComposer>  ?o    },http://dbpedia.org/resource/John_Leipold,John Leipold,NPP
