"id","question","sparql","answer_uri","answer_label","frame"
"0","Chi era la figlia di Abas I di Armenia?","select  ?o    {    <http://dbpedia.org/resource/Abas_I_of_Armenia> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ashot_III_of_Armenia","Ashot III","NPP"
"1","Chi è la figlia di Abas I di Armenia?","select  ?o    {    <http://dbpedia.org/resource/Abas_I_of_Armenia> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ashot_III_of_Armenia","Ashot III","NPP"
"2","Quale persona era la figlia di Abas I di Armenia?","select  ?o    {    <http://dbpedia.org/resource/Abas_I_of_Armenia> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ashot_III_of_Armenia","Ashot III","NPP"
"3","Quale persona è la figlia di Abas I di Armenia?","select  ?o    {    <http://dbpedia.org/resource/Abas_I_of_Armenia> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ashot_III_of_Armenia","Ashot III","NPP"
"4","la figlia di Abas I di Armenia","select  ?o    {    <http://dbpedia.org/resource/Abas_I_of_Armenia> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ashot_III_of_Armenia","Ashot III","NPP"
"5","Chi era la figlia di Achemene?","select  ?o    {    <http://dbpedia.org/resource/Achaemenes> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Teispes","Teispe di Ansan","NPP"
"6","Chi è la figlia di Achemene?","select  ?o    {    <http://dbpedia.org/resource/Achaemenes> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Teispes","Teispe di Ansan","NPP"
"7","Quale persona era la figlia di Achemene?","select  ?o    {    <http://dbpedia.org/resource/Achaemenes> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Teispes","Teispe di Ansan","NPP"
"8","Quale persona è la figlia di Achemene?","select  ?o    {    <http://dbpedia.org/resource/Achaemenes> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Teispes","Teispe di Ansan","NPP"
"9","la figlia di Achemene","select  ?o    {    <http://dbpedia.org/resource/Achaemenes> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Teispes","Teispe di Ansan","NPP"
"10","Chi era la figlia di Adad-nirari III?","select  ?o    {    <http://dbpedia.org/resource/Adad-nirari_III> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ashur-nirari_V","Assur-nirari V","NPP"
"11","Chi è la figlia di Adad-nirari III?","select  ?o    {    <http://dbpedia.org/resource/Adad-nirari_III> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ashur-nirari_V","Assur-nirari V","NPP"
"12","Quale persona era la figlia di Adad-nirari III?","select  ?o    {    <http://dbpedia.org/resource/Adad-nirari_III> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ashur-nirari_V","Assur-nirari V","NPP"
"13","Quale persona è la figlia di Adad-nirari III?","select  ?o    {    <http://dbpedia.org/resource/Adad-nirari_III> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ashur-nirari_V","Assur-nirari V","NPP"
"14","la figlia di Adad-nirari III","select  ?o    {    <http://dbpedia.org/resource/Adad-nirari_III> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Ashur-nirari_V","Assur-nirari V","NPP"
"15","Chi era la figlia di Adolfo Giovanni I del Palatinato-Zweibrücken-Kleeburg?","select  ?o    {    <http://dbpedia.org/resource/Adolph_John_I,_Count_Palatine_of_Kleeburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Gustav,_Duke_of_Zweibrücken","Gustavo del Palatinato-Zweibrücken","NPP"
"16","Chi è la figlia di Adolfo Giovanni I del Palatinato-Zweibrücken-Kleeburg?","select  ?o    {    <http://dbpedia.org/resource/Adolph_John_I,_Count_Palatine_of_Kleeburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Gustav,_Duke_of_Zweibrücken","Gustavo del Palatinato-Zweibrücken","NPP"
"17","Quale persona era la figlia di Adolfo Giovanni I del Palatinato-Zweibrücken-Kleeburg?","select  ?o    {    <http://dbpedia.org/resource/Adolph_John_I,_Count_Palatine_of_Kleeburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Gustav,_Duke_of_Zweibrücken","Gustavo del Palatinato-Zweibrücken","NPP"
"18","Quale persona è la figlia di Adolfo Giovanni I del Palatinato-Zweibrücken-Kleeburg?","select  ?o    {    <http://dbpedia.org/resource/Adolph_John_I,_Count_Palatine_of_Kleeburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Gustav,_Duke_of_Zweibrücken","Gustavo del Palatinato-Zweibrücken","NPP"
"19","la figlia di Adolfo Giovanni I del Palatinato-Zweibrücken-Kleeburg","select  ?o    {    <http://dbpedia.org/resource/Adolph_John_I,_Count_Palatine_of_Kleeburg> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Gustav,_Duke_of_Zweibrücken","Gustavo del Palatinato-Zweibrücken","NPP"
"20","Chi era la figlia di Aeropo I di Macedonia?","select  ?o    {    <http://dbpedia.org/resource/Aeropus_I_of_Macedon> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Alcetas_I_of_Macedon","Alceta I di Macedonia","NPP"
"21","Chi è la figlia di Aeropo I di Macedonia?","select  ?o    {    <http://dbpedia.org/resource/Aeropus_I_of_Macedon> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Alcetas_I_of_Macedon","Alceta I di Macedonia","NPP"
"22","Quale persona era la figlia di Aeropo I di Macedonia?","select  ?o    {    <http://dbpedia.org/resource/Aeropus_I_of_Macedon> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Alcetas_I_of_Macedon","Alceta I di Macedonia","NPP"
"23","Quale persona è la figlia di Aeropo I di Macedonia?","select  ?o    {    <http://dbpedia.org/resource/Aeropus_I_of_Macedon> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Alcetas_I_of_Macedon","Alceta I di Macedonia","NPP"
"24","la figlia di Aeropo I di Macedonia","select  ?o    {    <http://dbpedia.org/resource/Aeropus_I_of_Macedon> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Alcetas_I_of_Macedon","Alceta I di Macedonia","NPP"
"25","Chi era la figlia di Éric Dupond-Moretti?","select  ?o    {    <http://dbpedia.org/resource/Agathocles_of_Syracuse> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Archagathus_of_Libya","Arcagato di Libia","NPP"
"26","Chi è la figlia di Éric Dupond-Moretti?","select  ?o    {    <http://dbpedia.org/resource/Agathocles_of_Syracuse> <http://dbpedia.org/ontology/child>  ?o    }","http://dbpedia.org/resource/Archagathus_of_Libya","Arcagato di Libia","NPP"
