id,question,sparql,answer_rdf,answer,frame
2001,Qual era il movimento artistico di Cesare Dandini?,select  ?o    {    <http://dbpedia.org/resource/Cesare_Dandini> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Baroque,Letteratura barocca,NPP
2002,Qual è il movimento artistico di Cesare Dandini?,select  ?o    {    <http://dbpedia.org/resource/Cesare_Dandini> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Baroque,Letteratura barocca,NPP
2003,Qual era il movimento artistico di Charles-Alexandre Coëssin de la Fosse?,select  ?o    {    <http://dbpedia.org/resource/Charles-Alexandre_Coëssin_de_la_Fosse> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Neoclassicism,Neoclassicismo,NPP
2004,Qual è il movimento artistico di Charles-Alexandre Coëssin de la Fosse?,select  ?o    {    <http://dbpedia.org/resource/Charles-Alexandre_Coëssin_de_la_Fosse> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Neoclassicism,Neoclassicismo,NPP
2005,Qual era il movimento artistico di Charles-André van Loo?,select  ?o    {    <http://dbpedia.org/resource/Charles-André_van_Loo> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Orientalism,Orientalismo,NPP
2006,Qual è il movimento artistico di Charles-André van Loo?,select  ?o    {    <http://dbpedia.org/resource/Charles-André_van_Loo> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Orientalism,Orientalismo,NPP
2007,Qual era il movimento artistico di Charles-Émile-Callande de Champmartin?,select  ?o    {    <http://dbpedia.org/resource/Charles-Émile-Callande_de_Champmartin> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Orientalism,Orientalismo,NPP
2008,Qual è il movimento artistico di Charles-Émile-Callande de Champmartin?,select  ?o    {    <http://dbpedia.org/resource/Charles-Émile-Callande_de_Champmartin> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Orientalism,Orientalismo,NPP
2009,Qual era il movimento artistico di Charles Sprague Pearce?,select  ?o    {    <http://dbpedia.org/resource/Charles_Sprague_Pearce> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Orientalism,Orientalismo,NPP
2010,Qual è il movimento artistico di Charles Sprague Pearce?,select  ?o    {    <http://dbpedia.org/resource/Charles_Sprague_Pearce> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Orientalism,Orientalismo,NPP
2011,Qual era il movimento artistico di Cosmè Tura?,select  ?o    {    <http://dbpedia.org/resource/Cosmè_Tura> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Renaissance,Architettura rinascimentale,NPP
2012,Qual è il movimento artistico di Cosmè Tura?,select  ?o    {    <http://dbpedia.org/resource/Cosmè_Tura> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Renaissance,Architettura rinascimentale,NPP
2013,Qual era il movimento artistico di Heimo Zobernig?,select  ?o    {    <http://dbpedia.org/resource/Heimo_Zobernig> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Conceptual_art,Arte concettuale,NPP
2014,Qual è il movimento artistico di Heimo Zobernig?,select  ?o    {    <http://dbpedia.org/resource/Heimo_Zobernig> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Conceptual_art,Arte concettuale,NPP
2015,Qual era il movimento artistico di Hercules Seghers?,select  ?o    {    <http://dbpedia.org/resource/Hercules_Seghers> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Dutch_Golden_Age,Secolo d'oro olandese,NPP
2016,Qual è il movimento artistico di Hercules Seghers?,select  ?o    {    <http://dbpedia.org/resource/Hercules_Seghers> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Dutch_Golden_Age,Secolo d'oro olandese,NPP
2017,Qual era il movimento artistico di Willem Hondius?,select  ?o    {    <http://dbpedia.org/resource/Willem_Hondius> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Baroque,Letteratura barocca,NPP
2018,Qual è il movimento artistico di Willem Hondius?,select  ?o    {    <http://dbpedia.org/resource/Willem_Hondius> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Baroque,Letteratura barocca,NPP
2019,Qual era il movimento artistico di Hugo van der Goes?,select  ?o    {    <http://dbpedia.org/resource/Hugo_van_der_Goes> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Early_Netherlandish_painting,Primitivi fiamminghi,NPP
2020,Qual è il movimento artistico di Hugo van der Goes?,select  ?o    {    <http://dbpedia.org/resource/Hugo_van_der_Goes> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Early_Netherlandish_painting,Primitivi fiamminghi,NPP
2021,Qual era il movimento artistico di Adonis?,select  ?o    {    <http://dbpedia.org/resource/Adunis> <http://dbpedia.org/ontology/movement>  ?o    },http://dbpedia.org/resource/Literary_modernism,Modernismo (letteratura),NPP
