id,question,sparql,answer_rdf,answer,frame
0,Quale era la spagnoli ecclesiastico?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Cleric> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Vasco_de_Quiroga,Vasco de Quiroga,AA
1,Quale erano spagnoli ecclesiasticos?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Cleric> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Vasco_de_Quiroga,Vasco de Quiroga,AA
2,Quale sono spagnoli ecclesiasticos?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Cleric> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Vasco_de_Quiroga,Vasco de Quiroga,AA
3,Quale è la spagnoli ecclesiastico?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Cleric> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Vasco_de_Quiroga,Vasco de Quiroga,AA
5,la spagnoli ecclesiastico,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Cleric> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Vasco_de_Quiroga,Vasco de Quiroga,AA
6,spagnoli ecclesiasticos,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Cleric> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Vasco_de_Quiroga,Vasco de Quiroga,AA
8,Quale era la spagnoli agente?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Agent> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
9,Quale erano spagnoli agentes?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Agent> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
10,Quale sono spagnoli agentes?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Agent> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
11,Quale è la spagnoli agente?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Agent> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
13,la spagnoli agente,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Agent> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
14,spagnoli agentes,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Agent> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
16,Quale era la spagnoli atleta?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Athlete> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ruth_Ndoumbe,,AA
17,Quale erano spagnoli atletas?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Athlete> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ruth_Ndoumbe,,AA
18,Quale sono spagnoli atletas?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Athlete> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ruth_Ndoumbe,,AA
19,Quale è la spagnoli atleta?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Athlete> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ruth_Ndoumbe,,AA
21,la spagnoli atleta,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Athlete> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ruth_Ndoumbe,,AA
22,spagnoli atletas,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Athlete> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ruth_Ndoumbe,,AA
24,Quale era la spagnoli architetto?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Architect> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ibo_Bonilla,,AA
25,Quale erano spagnoli architettos?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Architect> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ibo_Bonilla,,AA
26,Quale sono spagnoli architettos?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Architect> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ibo_Bonilla,,AA
27,Quale è la spagnoli architetto?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Architect> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ibo_Bonilla,,AA
29,la spagnoli architetto,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Architect> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ibo_Bonilla,,AA
30,spagnoli architettos,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Architect> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Ibo_Bonilla,,AA
32,Quale era la spagnoli artista?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Gil_de_Siloé,Gil de Siloé,AA
33,Quale erano spagnoli artistas?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Gil_de_Siloé,Gil de Siloé,AA
34,Quale sono spagnoli artistas?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Gil_de_Siloé,Gil de Siloé,AA
35,Quale è la spagnoli artista?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Gil_de_Siloé,Gil de Siloé,AA
37,la spagnoli artista,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Gil_de_Siloé,Gil de Siloé,AA
38,spagnoli artistas,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Gil_de_Siloé,Gil de Siloé,AA
40,Quale era la spagnoli persona?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
41,Quale erano spagnoli personas?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
42,Quale sono spagnoli personas?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
43,Quale è la spagnoli persona?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
45,la spagnoli persona,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
46,spagnoli personas,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Victoria_Sendón_de_León,,AA
48,Quale era la spagnoli delinquente?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Criminal> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Pilar_Prades,,AA
49,Quale erano spagnoli delinquentes?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Criminal> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Pilar_Prades,,AA
50,Quale sono spagnoli delinquentes?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Criminal> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Pilar_Prades,,AA
51,Quale è la spagnoli delinquente?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Criminal> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Pilar_Prades,,AA
53,la spagnoli delinquente,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Criminal> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Pilar_Prades,,AA
54,spagnoli delinquentes,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Criminal> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Pilar_Prades,,AA
56,Quale era la spagnoli giocatore di scacchi?,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/ChessPlayer> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> },http://dbpedia.org/resource/Pablo_San_Segundo_Carrillo,,AA
