LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,,,,,,,,,,,,,,,,
height_of,noun,l' altezza,i partner,di,NounPPFrame,range,domain,1,dbo:height,dbo:Person,xsd:double,,,,,,,,,,,,,#N/A,#N/A,,2
partner-of,noun,il partner,i mariti,di,NounPPFrame,range,domain,1,dbo:partner,dbo:Person,dbo:Person,,,,,,,,,,,,,#N/A,#N/A,,2
spouse-of_m,noun,il marito,le mogli,di,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,,,,,,,,,,,,,#N/A,#N/A,,2
spouse-of_f,noun,la moglie,i creatori,di,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,,,,,,,,,,,,,#N/A,#N/A,,2
creator_of_m,noun,il creatore,le creatrici,di,NounPPFrame,range,domain,1,dbo:creator,dbo:Person,dbo:Agent,,,,,,,,,,,,,#N/A,#N/A,,2
creator_of_f,noun,la creatrice,X -,di,NounPPFrame,range,domain,1,dbo:creator,dbo:Person,dbo:Agent,,,,,,,,,,,,,#N/A,#N/A,,2
predecessor-of,noun,il predecessore,X -,di,NounPPFrame,range,domain,1,dbo:predecessor,dbo:Person,dbo:Politician,,,,,,,,,,,,,#N/A,#N/A,,2
occupation-of,noun,la professione,X -,di,NounPPFrame,range,domain,1,dbo:occupation,dbo:Person,dbo:PersonFunction,,,,,,,,,,,,,#N/A,#N/A,,2
opponent-of,noun,il nemico,i giudici,di,NounPPFrame,range,domain,1,dbo:opponent,dbo:Person,dbo:Person,,,,,,,,,,,,,#N/A,#N/A,,2
citizenship-of,noun,la cittadinanza,le mogli,di,NounPPFrame,range,domain,1,dbo:citizenship,dbo:Person,dbo:Location,,,,,,,,,,,,,#N/A,#N/A,,2
wife-of,noun,la moglie,-,di,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,,,,,,,,,,,,,#N/A,#N/A,,2
parent-of,noun,il genitore,-,di,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,,,,,,,,,,,,,#N/A,#N/A,,2
parent-of,noun,il genitore,-,di,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,,,,,,,,,,,,,#N/A,#N/A,,2
almaMater-of,noun,l' università,le case di distribuzione,di,NounPPFrame,range,domain,1,dbo:almaMater,dbo:Person,dbo:EducationalInstitution,,,,,,,,,,,,,#N/A,#N/A,,2
